OUCH Results,,,,,,
,,aic,aic.c,sic,dof,tree
BM,,12.6183300862,12.7348349406,17.9452082745,2,av_ultra_fulldataset.nex
mpdMpleth,,10.186317016,11.0348018645,26.1669515807,6,av_ultra_fulldataset.nex
xMpleth,,12.8129309564,13.2089705604,23.4666873329,4,av_ultra_fulldataset.nex
MxMpleth,,13.0991052793,13.6991052793,26.4163007498,5,av_ultra_fulldataset.nex
mpd,,12.8942805499,13.4942805499,26.2114760204,5,av_ultra_fulldataset.nex
metamorphosis,,13.9409302237,14.3369698276,24.5946866001,4,av_ultra_fulldataset.nex
,,,,,,
,,OUwie Results,OUCH Results,,,
,,aic,aic ,,,
,BM,12.61839,12.61839,,,
metamorphosis,BMS,14.50188,,,,
,OU,12.84107,13.9409302237,,,
,OUS,14.4802,,,,
,OUSA,78.06676,,,,
,,,,,,
xpleth,BM,12.61839,12.61839,,,
,BMS,14.40808,,,,
,OU,12.14382,,,,
,OUS,14.10655,,,,
,OUSA,16.10655,,,,
,,,,,,
xMpleth,BM,12.6183934554,12.61839,,,
,BMS,13.167599558,,,,
,OU,7.5489652974,12.8129309564,,,
,OUS,2.1598338932,,,,
,OUSA,2.6875791109,,,,
,,,,,,
xplethMpleth,BM,12.6183934554,12.61839,,,
,BMS,15.0423693403,,,,
,OU,7.7148196107,,,,
,OUS,4.2659574177,,,,
,OUSA,-2786.6516013701,,,,
