node,xMpleth,metamorphosis
107,x,M
108,x,M
109,x,M
110,x,M
111,x,M
112,x,M
113,x,M
114,x,M
115,x,M
116,x,M
117,x,M
118,x,M
119,x,M
120,x,M
121,x,M
122,x,M
123,x,M
124,x,M
125,x,M
126,x,M
127,x,M
128,x,M
129,Mpleth,M
130,x,x
131,x,x
132,x,x
133,x,x
134,x,x
135,x,x
136,x,x
137,x,x
138,x,x
139,x,x
140,x,x
141,x,x
142,x,x
143,x,x
144,x,x
145,x,x
146,Mpleth,M
147,Mpleth,M
148,Mpleth,M
149,x,x
150,x,x
151,Mpleth,M
152,Mpleth,M
153,x,x
154,x,x
155,x,x
156,x,x
157,x,x
158,x,x
159,x,x
160,x,x
161,x,x
162,x,x
163,x,x
164,x,x
165,x,x
166,x,x
167,x,x
168,x,x
169,x,x
170,x,x
171,x,x
172,x,x
173,x,x
174,x,x
175,x,x
176,x,x
177,x,x
178,x,x
179,x,x
180,x,x
181,x,x
182,x,x
183,x,x
184,x,x
185,x,x
186,x,x
187,Mpleth,M
188,Mpleth,M
189,Mpleth,M
190,x,x
191,Mpleth,M
192,Mpleth,M
193,Mpleth,M
194,Mpleth,M
195,x,x
